Stage,Xmom,Ymom,timestamp,DateTimeTZ
0.346,0,0,1064350800,2003-09-24 07:00:00+10:00
0.436,0,0,1064351700,2003-09-24 07:15:00+10:00
0.476,0,0,1064352600,2003-09-24 07:30:00+10:00
0.356,0,0,1064353500,2003-09-24 07:45:00+10:00
0.386,0,0,1064354400,2003-09-24 08:00:00+10:00
0.346,0,0,1064355300,2003-09-24 08:15:00+10:00
0.266,0,0,1064356200,2003-09-24 08:30:00+10:00
0.276,0,0,1064357100,2003-09-24 08:45:00+10:00
0.196,0,0,1064358000,2003-09-24 09:00:00+10:00
0.126,0,0,1064358900,2003-09-24 09:15:00+10:00
0.096,0,0,1064359800,2003-09-24 09:30:00+10:00
0.036,0,0,1064360700,2003-09-24 09:45:00+10:00
-0.004,0,0,1064361600,2003-09-24 10:00:00+10:00
-0.114,0,0,1064362500,2003-09-24 10:15:00+10:00
-0.144,0,0,1064363400,2003-09-24 10:30:00+10:00
-0.184,0,0,1064364300,2003-09-24 10:45:00+10:00
-0.234,0,0,1064365200,2003-09-24 11:00:00+10:00
-0.274,0,0,1064366100,2003-09-24 11:15:00+10:00
-0.324,0,0,1064367000,2003-09-24 11:30:00+10:00
-0.344,0,0,1064367900,2003-09-24 11:45:00+10:00
-0.384,0,0,1064368800,2003-09-24 12:00:00+10:00
-0.374,0,0,1064369700,2003-09-24 12:15:00+10:00
-0.404,0,0,1064370600,2003-09-24 12:30:00+10:00
-0.414,0,0,1064371500,2003-09-24 12:45:00+10:00
-0.364,0,0,1064372400,2003-09-24 13:00:00+10:00
-0.404,0,0,1064373300,2003-09-24 13:15:00+10:00
-0.344,0,0,1064374200,2003-09-24 13:30:00+10:00
-0.314,0,0,1064375100,2003-09-24 13:45:00+10:00
-0.284,0,0,1064376000,2003-09-24 14:00:00+10:00
-0.194,0,0,1064376900,2003-09-24 14:15:00+10:00
-0.204,0,0,1064377800,2003-09-24 14:30:00+10:00
-0.154,0,0,1064378700,2003-09-24 14:45:00+10:00
-0.014,0,0,1064379600,2003-09-24 15:00:00+10:00
0.066,0,0,1064380500,2003-09-24 15:15:00+10:00
0.066,0,0,1064381400,2003-09-24 15:30:00+10:00
0.146,0,0,1064382300,2003-09-24 15:45:00+10:00
0.236,0,0,1064383200,2003-09-24 16:00:00+10:00
0.316,0,0,1064384100,2003-09-24 16:15:00+10:00
0.426,0,0,1064385000,2003-09-24 16:30:00+10:00
0.426,0,0,1064385900,2003-09-24 16:45:00+10:00
0.496,0,0,1064386800,2003-09-24 17:00:00+10:00
0.596,0,0,1064387700,2003-09-24 17:15:00+10:00
0.606,0,0,1064388600,2003-09-24 17:30:00+10:00
0.696,0,0,1064389500,2003-09-24 17:45:00+10:00
0.706,0,0,1064390400,2003-09-24 18:00:00+10:00
0.746,0,0,1064391300,2003-09-24 18:15:00+10:00
0.796,0,0,1064392200,2003-09-24 18:30:00+10:00
0.776,0,0,1064393100,2003-09-24 18:45:00+10:00
0.776,0,0,1064394000,2003-09-24 19:00:00+10:00
0.746,0,0,1064394900,2003-09-24 19:15:00+10:00
0.776,0,0,1064395800,2003-09-24 19:30:00+10:00
0.736,0,0,1064396700,2003-09-24 19:45:00+10:00
0.686,0,0,1064397600,2003-09-24 20:00:00+10:00
0.626,0,0,1064398500,2003-09-24 20:15:00+10:00
0.566,0,0,1064399400,2003-09-24 20:30:00+10:00
0.526,0,0,1064400300,2003-09-24 20:45:00+10:00
0.436,0,0,1064401200,2003-09-24 21:00:00+10:00
0.356,0,0,1064402100,2003-09-24 21:15:00+10:00
0.266,0,0,1064403000,2003-09-24 21:30:00+10:00
0.186,0,0,1064403900,2003-09-24 21:45:00+10:00
0.126,0,0,1064404800,2003-09-24 22:00:00+10:00
-0.004,0,0,1064405700,2003-09-24 22:15:00+10:00
-0.054,0,0,1064406600,2003-09-24 22:30:00+10:00
-0.184,0,0,1064407500,2003-09-24 22:45:00+10:00
-0.234,0,0,1064408400,2003-09-24 23:00:00+10:00
-0.284,0,0,1064409300,2003-09-24 23:15:00+10:00
-0.384,0,0,1064410200,2003-09-24 23:30:00+10:00
-0.454,0,0,1064411100,2003-09-24 23:45:00+10:00
-0.504,0,0,1064412000,2003-09-25 00:00:00+10:00
-0.544,0,0,1064412900,2003-09-25 00:15:00+10:00
-0.594,0,0,1064413800,2003-09-25 00:30:00+10:00
-0.624,0,0,1064414700,2003-09-25 00:45:00+10:00
-0.644,0,0,1064415600,2003-09-25 01:00:00+10:00
-0.654,0,0,1064416500,2003-09-25 01:15:00+10:00
-0.664,0,0,1064417400,2003-09-25 01:30:00+10:00
-0.634,0,0,1064418300,2003-09-25 01:45:00+10:00
-0.624,0,0,1064419200,2003-09-25 02:00:00+10:00
-0.624,0,0,1064420100,2003-09-25 02:15:00+10:00
-0.584,0,0,1064421000,2003-09-25 02:30:00+10:00
-0.514,0,0,1064421900,2003-09-25 02:45:00+10:00
-0.464,0,0,1064422800,2003-09-25 03:00:00+10:00
-0.424,0,0,1064423700,2003-09-25 03:15:00+10:00
-0.314,0,0,1064424600,2003-09-25 03:30:00+10:00
-0.274,0,0,1064425500,2003-09-25 03:45:00+10:00
-0.224,0,0,1064426400,2003-09-25 04:00:00+10:00
-0.114,0,0,1064427300,2003-09-25 04:15:00+10:00
-0.024,0,0,1064428200,2003-09-25 04:30:00+10:00
0.016,0,0,1064429100,2003-09-25 04:45:00+10:00
0.096,0,0,1064430000,2003-09-25 05:00:00+10:00
0.176,0,0,1064430900,2003-09-25 05:15:00+10:00
0.246,0,0,1064431800,2003-09-25 05:30:00+10:00
0.306,0,0,1064432700,2003-09-25 05:45:00+10:00
0.356,0,0,1064433600,2003-09-25 06:00:00+10:00
0.426,0,0,1064434500,2003-09-25 06:15:00+10:00
0.426,0,0,1064435400,2003-09-25 06:30:00+10:00
0.526,0,0,1064436300,2003-09-25 06:45:00+10:00
0.516,0,0,1064437200,2003-09-25 07:00:00+10:00
0.536,0,0,1064438100,2003-09-25 07:15:00+10:00
0.516,0,0,1064439000,2003-09-25 07:30:00+10:00
0.546,0,0,1064439900,2003-09-25 07:45:00+10:00
0.536,0,0,1064440800,2003-09-25 08:00:00+10:00
0.516,0,0,1064441700,2003-09-25 08:15:00+10:00
0.476,0,0,1064442600,2003-09-25 08:30:00+10:00
0.426,0,0,1064443500,2003-09-25 08:45:00+10:00
0.436,0,0,1064444400,2003-09-25 09:00:00+10:00
0.386,0,0,1064445300,2003-09-25 09:15:00+10:00
0.286,0,0,1064446200,2003-09-25 09:30:00+10:00
0.216,0,0,1064447100,2003-09-25 09:45:00+10:00
0.216,0,0,1064448000,2003-09-25 10:00:00+10:00
0.096,0,0,1064448900,2003-09-25 10:15:00+10:00
0.056,0,0,1064449800,2003-09-25 10:30:00+10:00
-0.034,0,0,1064450700,2003-09-25 10:45:00+10:00
-0.124,0,0,1064451600,2003-09-25 11:00:00+10:00
-0.134,0,0,1064452500,2003-09-25 11:15:00+10:00
-0.194,0,0,1064453400,2003-09-25 11:30:00+10:00
-0.274,0,0,1064454300,2003-09-25 11:45:00+10:00
-0.324,0,0,1064455200,2003-09-25 12:00:00+10:00
-0.344,0,0,1064456100,2003-09-25 12:15:00+10:00
-0.424,0,0,1064457000,2003-09-25 12:30:00+10:00
-0.384,0,0,1064457900,2003-09-25 12:45:00+10:00
-0.424,0,0,1064458800,2003-09-25 13:00:00+10:00
-0.434,0,0,1064459700,2003-09-25 13:15:00+10:00
-0.444,0,0,1064460600,2003-09-25 13:30:00+10:00
-0.434,0,0,1064461500,2003-09-25 13:45:00+10:00
-0.404,0,0,1064462400,2003-09-25 14:00:00+10:00
-0.394,0,0,1064463300,2003-09-25 14:15:00+10:00
-0.334,0,0,1064464200,2003-09-25 14:30:00+10:00
-0.314,0,0,1064465100,2003-09-25 14:45:00+10:00
-0.224,0,0,1064466000,2003-09-25 15:00:00+10:00
-0.204,0,0,1064466900,2003-09-25 15:15:00+10:00
-0.104,0,0,1064467800,2003-09-25 15:30:00+10:00
-0.004,0,0,1064468700,2003-09-25 15:45:00+10:00
-0.004,0,0,1064469600,2003-09-25 16:00:00+10:00
0.136,0,0,1064470500,2003-09-25 16:15:00+10:00
0.186,0,0,1064471400,2003-09-25 16:30:00+10:00
0.306,0,0,1064472300,2003-09-25 16:45:00+10:00
0.356,0,0,1064473200,2003-09-25 17:00:00+10:00
0.396,0,0,1064474100,2003-09-25 17:15:00+10:00
0.526,0,0,1064475000,2003-09-25 17:30:00+10:00
0.586,0,0,1064475900,2003-09-25 17:45:00+10:00
0.636,0,0,1064476800,2003-09-25 18:00:00+10:00
0.676,0,0,1064477700,2003-09-25 18:15:00+10:00
0.736,0,0,1064478600,2003-09-25 18:30:00+10:00
0.786,0,0,1064479500,2003-09-25 18:45:00+10:00
0.806,0,0,1064480400,2003-09-25 19:00:00+10:00
0.846,0,0,1064481300,2003-09-25 19:15:00+10:00
0.806,0,0,1064482200,2003-09-25 19:30:00+10:00
0.826,0,0,1064483100,2003-09-25 19:45:00+10:00
0.836,0,0,1064484000,2003-09-25 20:00:00+10:00
0.806,0,0,1064484900,2003-09-25 20:15:00+10:00
0.726,0,0,1064485800,2003-09-25 20:30:00+10:00
0.716,0,0,1064486700,2003-09-25 20:45:00+10:00
0.646,0,0,1064487600,2003-09-25 21:00:00+10:00
0.566,0,0,1064488500,2003-09-25 21:15:00+10:00
0.526,0,0,1064489400,2003-09-25 21:30:00+10:00
0.416,0,0,1064490300,2003-09-25 21:45:00+10:00
0.326,0,0,1064491200,2003-09-25 22:00:00+10:00
0.266,0,0,1064492100,2003-09-25 22:15:00+10:00
0.156,0,0,1064493000,2003-09-25 22:30:00+10:00
0.046,0,0,1064493900,2003-09-25 22:45:00+10:00
-0.014,0,0,1064494800,2003-09-25 23:00:00+10:00
-0.104,0,0,1064495700,2003-09-25 23:15:00+10:00
-0.234,0,0,1064496600,2003-09-25 23:30:00+10:00
-0.324,0,0,1064497500,2003-09-25 23:45:00+10:00
-0.354,0,0,1064498400,2003-09-26 00:00:00+10:00
-0.424,0,0,1064499300,2003-09-26 00:15:00+10:00
-0.514,0,0,1064500200,2003-09-26 00:30:00+10:00
-0.554,0,0,1064501100,2003-09-26 00:45:00+10:00
-0.694,0,0,1064502000,2003-09-26 01:00:00+10:00
-0.644,0,0,1064502900,2003-09-26 01:15:00+10:00
-0.664,0,0,1064503800,2003-09-26 01:30:00+10:00
-0.744,0,0,1064504700,2003-09-26 01:45:00+10:00
-0.734,0,0,1064505600,2003-09-26 02:00:00+10:00
-0.774,0,0,1064506500,2003-09-26 02:15:00+10:00
-0.674,0,0,1064507400,2003-09-26 02:30:00+10:00
-0.694,0,0,1064508300,2003-09-26 02:45:00+10:00
-0.664,0,0,1064509200,2003-09-26 03:00:00+10:00
-0.644,0,0,1064510100,2003-09-26 03:15:00+10:00
-0.594,0,0,1064511000,2003-09-26 03:30:00+10:00
-0.474,0,0,1064511900,2003-09-26 03:45:00+10:00
-0.414,0,0,1064512800,2003-09-26 04:00:00+10:00
-0.394,0,0,1064513700,2003-09-26 04:15:00+10:00
-0.264,0,0,1064514600,2003-09-26 04:30:00+10:00
-0.214,0,0,1064515500,2003-09-26 04:45:00+10:00
-0.104,0,0,1064516400,2003-09-26 05:00:00+10:00
-0.004,0,0,1064517300,2003-09-26 05:15:00+10:00
0.036,0,0,1064518200,2003-09-26 05:30:00+10:00
0.096,0,0,1064519100,2003-09-26 05:45:00+10:00
0.226,0,0,1064520000,2003-09-26 06:00:00+10:00
0.316,0,0,1064520900,2003-09-26 06:15:00+10:00
0.326,0,0,1064521800,2003-09-26 06:30:00+10:00
0.416,0,0,1064522700,2003-09-26 06:45:00+10:00
0.436,0,0,1064523600,2003-09-26 07:00:00+10:00
0.486,0,0,1064524500,2003-09-26 07:15:00+10:00
0.566,0,0,1064525400,2003-09-26 07:30:00+10:00
0.566,0,0,1064526300,2003-09-26 07:45:00+10:00
0.566,0,0,1064527200,2003-09-26 08:00:00+10:00
0.566,0,0,1064528100,2003-09-26 08:15:00+10:00
0.596,0,0,1064529000,2003-09-26 08:30:00+10:00
0.566,0,0,1064529900,2003-09-26 08:45:00+10:00
0.546,0,0,1064530800,2003-09-26 09:00:00+10:00
0.506,0,0,1064531700,2003-09-26 09:15:00+10:00
0.456,0,0,1064532600,2003-09-26 09:30:00+10:00
0.446,0,0,1064533500,2003-09-26 09:45:00+10:00
0.346,0,0,1064534400,2003-09-26 10:00:00+10:00
0.306,0,0,1064535300,2003-09-26 10:15:00+10:00
0.206,0,0,1064536200,2003-09-26 10:30:00+10:00
0.146,0,0,1064537100,2003-09-26 10:45:00+10:00
0.076,0,0,1064538000,2003-09-26 11:00:00+10:00
-0.034,0,0,1064538900,2003-09-26 11:15:00+10:00
-0.054,0,0,1064539800,2003-09-26 11:30:00+10:00
-0.174,0,0,1064540700,2003-09-26 11:45:00+10:00
-0.234,0,0,1064541600,2003-09-26 12:00:00+10:00
-0.284,0,0,1064542500,2003-09-26 12:15:00+10:00
-0.354,0,0,1064543400,2003-09-26 12:30:00+10:00
-0.404,0,0,1064544300,2003-09-26 12:45:00+10:00
-0.464,0,0,1064545200,2003-09-26 13:00:00+10:00
-0.484,0,0,1064546100,2003-09-26 13:15:00+10:00
-0.524,0,0,1064547000,2003-09-26 13:30:00+10:00
-0.554,0,0,1064547900,2003-09-26 13:45:00+10:00
-0.554,0,0,1064548800,2003-09-26 14:00:00+10:00
-0.544,0,0,1064549700,2003-09-26 14:15:00+10:00
-0.534,0,0,1064550600,2003-09-26 14:30:00+10:00
-0.514,0,0,1064551500,2003-09-26 14:45:00+10:00
-0.504,0,0,1064552400,2003-09-26 15:00:00+10:00
-0.444,0,0,1064553300,2003-09-26 15:15:00+10:00
-0.394,0,0,1064554200,2003-09-26 15:30:00+10:00
-0.344,0,0,1064555100,2003-09-26 15:45:00+10:00
-0.264,0,0,1064556000,2003-09-26 16:00:00+10:00
-0.214,0,0,1064556900,2003-09-26 16:15:00+10:00
-0.114,0,0,1064557800,2003-09-26 16:30:00+10:00
-0.054,0,0,1064558700,2003-09-26 16:45:00+10:00
0.056,0,0,1064559600,2003-09-26 17:00:00+10:00
0.126,0,0,1064560500,2003-09-26 17:15:00+10:00
0.216,0,0,1064561400,2003-09-26 17:30:00+10:00
0.296,0,0,1064562300,2003-09-26 17:45:00+10:00
